,IDV
0.chromsome.0,0.0
0.chromsome.1,0.0
0.chromsome.2,0.1
0.chromsome.3,0.1
0.chromsome.4,0.2
0.chromsome.5,0.2
0.chromsome.6,0.3
0.chromsome.7,0.3
0.chromsome.8,0.4
0.chromsome.9,0.4
0.chromsome.10,0.5
0.chromsome.11,0.5
0.chromsome.12,0.6
0.chromsome.13,0.6
0.chromsome.14,0.7
0.chromsome.15,0.7
0.chromsome.16,0.8
0.chromsome.17,0.8
0.chromsome.18,0.9
0.chromsome.19,0.9
0.chromsome.20,0.10
0.chromsome.21,0.10
0.chromsome.22,0.11
0.chromsome.23,0.11
0.chromsome.24,0.12
0.chromsome.25,0.12
0.chromsome.26,0.13
0.chromsome.27,0.13
0.chromsome.28,0.14
0.chromsome.29,0.14
0.chromsome.30,0.15
0.chromsome.31,0.15
0.chromsome.32,0.16
0.chromsome.33,0.16
0.chromsome.34,0.17
0.chromsome.35,0.17
0.chromsome.36,0.18
0.chromsome.37,0.18
0.chromsome.38,0.19
0.chromsome.39,0.19
1.chromsome.0,1.0
1.chromsome.1,1.0
1.chromsome.2,1.1
1.chromsome.3,1.1
1.chromsome.4,1.2
1.chromsome.5,1.2
1.chromsome.6,1.3
1.chromsome.7,1.3
1.chromsome.8,1.4
1.chromsome.9,1.4
1.chromsome.10,1.5
1.chromsome.11,1.5
1.chromsome.12,1.6
1.chromsome.13,1.6
1.chromsome.14,1.7
1.chromsome.15,1.7
1.chromsome.16,1.8
1.chromsome.17,1.8
1.chromsome.18,1.9
1.chromsome.19,1.9
1.chromsome.20,1.10
1.chromsome.21,1.10
1.chromsome.22,1.11
1.chromsome.23,1.11
1.chromsome.24,1.12
1.chromsome.25,1.12
1.chromsome.26,1.13
1.chromsome.27,1.13
1.chromsome.28,1.14
1.chromsome.29,1.14
1.chromsome.30,1.15
1.chromsome.31,1.15
1.chromsome.32,1.16
1.chromsome.33,1.16
1.chromsome.34,1.17
1.chromsome.35,1.17
1.chromsome.36,1.18
1.chromsome.37,1.18
1.chromsome.38,1.19
1.chromsome.39,1.19
2.chromsome.0,2.0
2.chromsome.1,2.0
2.chromsome.2,2.1
2.chromsome.3,2.1
2.chromsome.4,2.2
2.chromsome.5,2.2
2.chromsome.6,2.3
2.chromsome.7,2.3
2.chromsome.8,2.4
2.chromsome.9,2.4
2.chromsome.10,2.5
2.chromsome.11,2.5
2.chromsome.12,2.6
2.chromsome.13,2.6
2.chromsome.14,2.7
2.chromsome.15,2.7
2.chromsome.16,2.8
2.chromsome.17,2.8
2.chromsome.18,2.9
2.chromsome.19,2.9
2.chromsome.20,2.10
2.chromsome.21,2.10
2.chromsome.22,2.11
2.chromsome.23,2.11
2.chromsome.24,2.12
2.chromsome.25,2.12
2.chromsome.26,2.13
2.chromsome.27,2.13
2.chromsome.28,2.14
2.chromsome.29,2.14
2.chromsome.30,2.15
2.chromsome.31,2.15
2.chromsome.32,2.16
2.chromsome.33,2.16
2.chromsome.34,2.17
2.chromsome.35,2.17
2.chromsome.36,2.18
2.chromsome.37,2.18
2.chromsome.38,2.19
2.chromsome.39,2.19
3.chromsome.0,3.0
3.chromsome.1,3.0
3.chromsome.2,3.1
3.chromsome.3,3.1
3.chromsome.4,3.2
3.chromsome.5,3.2
3.chromsome.6,3.3
3.chromsome.7,3.3
3.chromsome.8,3.4
3.chromsome.9,3.4
3.chromsome.10,3.5
3.chromsome.11,3.5
3.chromsome.12,3.6
3.chromsome.13,3.6
3.chromsome.14,3.7
3.chromsome.15,3.7
3.chromsome.16,3.8
3.chromsome.17,3.8
3.chromsome.18,3.9
3.chromsome.19,3.9
3.chromsome.20,3.10
3.chromsome.21,3.10
3.chromsome.22,3.11
3.chromsome.23,3.11
3.chromsome.24,3.12
3.chromsome.25,3.12
3.chromsome.26,3.13
3.chromsome.27,3.13
3.chromsome.28,3.14
3.chromsome.29,3.14
3.chromsome.30,3.15
3.chromsome.31,3.15
3.chromsome.32,3.16
3.chromsome.33,3.16
3.chromsome.34,3.17
3.chromsome.35,3.17
3.chromsome.36,3.18
3.chromsome.37,3.18
3.chromsome.38,3.19
3.chromsome.39,3.19
